,subnum,trial,diff,resp,corr,abstime,rt,gender
18,2,19,-38,<rshift>,1,23126,235,1
19,2,20,-52,<lshift>,0,24156,97,1
20,2,21,-35,<rshift>,1,25052,186,1
21,2,22,-49,<lshift>,0,26032,87,1
22,2,23,-52,<lshift>,0,26930,362,1
23,2,24,-38,<rshift>,1,28089,24,1
24,2,25,-45,<lshift>,0,28901,61,1
25,2,26,-33,<rshift>,1,29752,120,1
26,2,27,-47,<lshift>,0,30672,101,1
27,2,28,-37,<rshift>,1,31569,231,1
28,2,29,-43,<lshift>,0,32587,232,1
29,2,30,-28,<rshift>,1,33609,446,1
30,2,31,-46,<lshift>,0,34851,102,1
31,2,32,-57,<lshift>,0,35742,393,1
32,2,33,-50,<rshift>,1,36924,240,1
33,2,34,-63,<lshift>,0,37954,575,1
34,2,35,-47,<rshift>,1,39324,210,1
35,2,36,-62,<lshift>,0,40324,138,1
36,2,37,-51,<rshift>,1,41251,92,1
37,2,38,-44,<rshift>,1,42134,416,1
38,2,39,-50,<lshift>,0,43342,133,1
39,2,40,-63,<lshift>,0,44263,552,1
40,2,41,-55,<rshift>,1,45604,191,1
41,2,42,-59,<lshift>,0,46586,620,1
42,2,43,-46,<rshift>,1,48004,212,1
43,2,44,-60,<lshift>,0,49003,204,1
44,2,45,-51,<rshift>,1,49994,279,1
45,2,46,-45,<rshift>,1,51071,332,1
46,2,47,-58,<lshift>,0,52202,139,1
47,2,48,-50,<rshift>,1,53132,39,1
48,2,49,-36,<rshift>,1,53962,196,1
49,2,50,-52,<lshift>,0,54954,112,1
0,6,1,-55,<lshift>,0,23648,651,0
1,6,2,-42,<rshift>,1,25059,353,0
2,6,3,-57,<lshift>,0,26171,186,0
3,6,4,-48,<rshift>,1,27118,208,0
4,6,5,-35,<rshift>,1,28085,270,0
5,6,6,-43,<lshift>,0,29117,148,0
6,6,7,-30,<rshift>,1,30025,238,0
7,6,8,-35,<lshift>,0,31021,140,0
8,6,9,-41,<lshift>,0,31923,176,0
9,6,10,-54,<lshift>,0,32860,123,0
10,6,11,-65,<lshift>,0,33744,177,0
11,6,12,-50,<rshift>,1,34681,191,0
12,6,13,-60,<lshift>,0,35632,267,0
13,6,14,-45,<rshift>,1,36661,212,0
14,6,15,-58,<lshift>,0,37632,242,0
15,6,16,-53,<rshift>,1,38637,184,0
16,6,17,-44,<rshift>,1,39583,160,0
17,6,18,-58,<lshift>,0,40503,310,0
18,6,19,-52,<rshift>,1,41573,214,0
19,6,20,-38,<rshift>,1,42547,141,0
20,6,21,-52,<lshift>,0,43449,181,0
21,6,22,-43,<rshift>,1,44389,274,0
22,6,23,-51,<lshift>,0,45424,194,0
23,6,24,-57,<lshift>,0,46379,389,0
24,6,25,-49,<rshift>,1,47530,176,0
25,6,26,-57,<lshift>,0,48468,365,0
26,6,27,-51,<rshift>,1,49592,303,0
27,6,28,-63,<lshift>,0,50655,191,0
28,6,29,-50,<rshift>,1,51606,211,0
29,6,30,-57,<lshift>,0,52575,176,0
30,6,31,-43,<rshift>,1,53513,169,0
31,6,32,-30,<rshift>,1,54443,406,0
