,subnum,trial,diff,resp,corr,abstime,rt,gender
29,7,30,-56,<lshift>,0,37535,243,1
30,7,31,-51,<rshift>,1,38562,252,1
31,7,32,-56,<lshift>,0,39598,175,1
32,7,33,-44,<rshift>,1,40558,156,1
33,7,34,-46,<lshift>,0,41496,218,1
34,7,35,-30,<rshift>,1,42495,959,1
35,7,36,-48,<lshift>,0,44233,286,1
36,7,37,-44,<rshift>,1,45301,67,1
37,7,38,-60,<lshift>,0,46149,362,1
38,7,39,-45,<rshift>,1,47293,753,1
39,7,40,-58,<lshift>,0,48827,418,1
40,7,41,-41,<rshift>,1,50027,2,1
41,7,42,-53,<lshift>,0,50803,474,1
42,7,43,-51,<rshift>,1,52059,320,1
43,7,44,-61,<lshift>,0,53162,220,1
44,7,45,-70,<lshift>,0,54166,743,1
45,7,46,-60,<rshift>,1,55692,837,1
46,7,47,-57,<rshift>,1,57313,23,1
47,7,48,-66,<lshift>,0,58119,33,1
48,7,49,-57,<rshift>,1,58937,8,1
49,7,50,-48,<rshift>,1,59727,130,1
